volact,cntry,female,yrbrn,eduyrs,domicil,married,children,houseperson,wkhtot,church,sclmeet,social_trust,tolerance,self_realisation,solidarity,tvpol,tvtot,political_interest,trust_exe,trust_leg,trstep,stfdem,dweight
0,"AL",0,1960,8,4,1,0,0,28,5,4,10,5,5,5,5,5,3,5.5,0,10,5,.54369568
0,"AL",1,1934,4,3,,0,0,60,6,2,8,4,6,6,2,3,2,6,2.5,10,3,.14376799
0,"AL",0,1960,8,4,1,1,0,50,3,4,13,5,5,5,2,4,3,4,4,6,4,1.1607153
1,"AL",1,1970,8,4,1,1,1,60,1,4,3,3,6,4,1,3,1,10,0,8,8,1.5476204
0,"AL",1,1968,8,4,0,1,0,,7,1,18,5,5,5,7,7,1,0,0,7,0,.51574522
0,"AL",0,1988,12,4,0,0,0,80,1,2,11,4,6,5,2,7,3,2.5,4,10,5,1.2668888
1,"AL",1,1997,9,4,0,0,0,0,5,7,12,4,4,5,2,1,1,9,2.5,10,8,4
1,"AL",0,1994,11,4,0,0,0,72,2,2,22,6,4,6,6,7,2,7.5,5.5,10,7,1.0801312
0,"AL",0,1938,8,4,1,0,0,48,4,3,15,5,6,6,7,7,4,8,3,6,4,.5155034
0,"AL",1,1939,4,4,0,0,0,56,3,7,4,5,1,5,3,7,1,10,0,,0,.54006562
0,"AL",0,1962,12,4,1,1,0,50,4,3,13,5,5,5,2,5,3,2.5,0,0,5,1.1596466
0,"AL",1,1995,10,4,0,0,0,0,1,6,9,5,4,5,1,3,2,4,3,6,7,1.583611
0,"AL",1,1949,4,4,1,0,0,70,5,7,7,3,4,5,1,4,3,9,8,,5,.77309771
1,"AL",0,1985,12,4,0,0,0,65,4,7,7,5,5,5,4,1,2,1,2.5,10,0,1.6201969
0,"AL",0,1962,12,4,1,0,0,80,3,1,11,5,5,5,2,4,2,10,2.5,0,,1.1596466
0,"AL",0,1970,12,4,1,1,0,56,3,2,11,5,5,5,2,5,3,1,5,4,3,.81554352
0,"AL",0,1991,15,4,0,0,0,84,3,4,3,5,6,5,4,7,2,6,3.5,10,9,.63181418
0,"AL",0,1973,12,4,1,1,0,0,1,3,13,1,5,5,1,5,2,0,0,6,5,.63344441
1,"AL",0,1966,8,4,1,1,0,0,1,4,16,4,5,5,2,6,1,0,0,10,0,1.2668888
0,"AL",0,1982,8,4,1,1,0,0,1,7,25,5,5,5,1,5,1,1.5,2,8,1,1.5795355
0,"AL",1,1935,4,4,0,0,0,0,4,2,10,,,,1,2,1,,,,,.38654886
1,"AL",0,1996,9,3,0,0,0,0,2,4,21,4,6,6,1,6,3,8,4,8,7,.81005359
0,"AL",1,1951,4,4,0,1,0,0,3,1,18,5,5,5,2,6,3,3.5,0,2,4,.94772127
1,"AL",1,1970,18,4,1,1,0,,2,6,16,,5,6,2,7,3,4,2,7,,1.0311843
0,"AL",1,1969,12,4,1,1,0,84,1,4,3,6,3,6,6,7,4,0,0,10,0,1.2668888
0,"AL",1,1945,4,4,1,0,0,112,2,4,23,5,4,5,2,3,1,4.5,.5,10,2,.63181418
0,"AL",0,1969,12,4,1,1,0,56,3,4,3,6,2,6,4,5,3,5,3.5,10,3,1.5795355
0,"AL",1,1961,8,3,1,0,0,0,5,1,19,1,6,1,5,7,1,5.5,2,8,6,.54003573
0,"AL",0,1941,10,3,1,1,0,,2,6,20,3,3,5,7,7,3,9,8,10,9,1.6201072
0,"AL",0,1962,16,3,1,1,0,80,3,7,10,5,6,6,2,2,4,0,0,10,0,.88714905
0,"AL",0,1976,10,3,1,1,0,48,6,7,25,3,5,5,3,2,1,5.5,0,10,0,1.0800715
1,"AL",0,1996,11,3,0,0,0,56,1,7,24,5,4,5,1,7,3,7,5,6,4,1.6201072
0,"AL",0,1968,8,3,1,1,0,20,3,7,18,5,5,5,2,6,2,5,.5,5,1,.14582143
0,"AL",1,1935,4,3,0,1,0,45,2,3,21,6,5,5,0,3,3,4,4.5,7,4,3.5887592
0,"AL",0,1947,13,4,0,0,0,40,4,4,3,4,5,5,6,7,4,3,0,10,4,.29810346
